ABUTt2pp,ADK1,ADK3,ALAt2pp_copy2,ALAt4pp,CAt6pp,CA2t3pp,GLUABUTt7pp,GLUt2rpp,GLUt4pp,GLYCLTt2rpp,GLYCLTt4pp,GLYt2pp_copy2,GLYt4pp,NAt3pp,NDPK1,SERt2rpp,SERt4pp
0,131.355409205105,-33.473436301793,0,1.30739863379858e-12,-0.152032085426981,0,1.59161572810262e-12,0,3.26151928648704,0,1.59161572810262e-12,-32.3152795936534,32.3152795936541,0,0,0,1.76214598468505e-12
0,131.355409120816,-33.4734363058284,0,1.27897692436818e-12,-0.152032085426981,0,1.59161572810262e-12,0,3.26151929426362,0,1.59161572810262e-12,-35.9856491091919,35.9856491091927,0,0,0,1.76214598468505e-12
0,131.355409541714,-33.4734365500472,0,1.25055521493778e-12,-0.152032085426981,0,1.93267624126747e-12,0,3.2615192944948,0,1.36424205265939e-12,-39.8697637480279,39.8697637480287,0,0,0,1.93267624126747e-12
0,131.355409349293,-33.4734364120469,0,1.27897692436818e-12,-0.152032085426868,0,2.1032064978499e-12,0,3.26151928377479,0,1.36424205265939e-12,-1.43452442245604,1.43452442245689,0,0,0,1.93267624126747e-12
0,131.355409415597,-33.4734366045038,0,1.36424205265939e-12,-0.152032085426981,0,2.21689333557151e-12,0,3.26151926764726,0,1.25055521493778e-12,-1.44336768659957,1.44336768660031,0,0,0,1.93267624126747e-12
0,131.355409454037,-33.4734366058859,0,1.25055521493778e-12,-0.152032085426868,0,2.04636307898909e-12,0,3.2615192759045,0,1.30739863379858e-12,-24.4104819121836,24.4104819121844,0,0,0,1.81898940354586e-12
0,131.355409194791,-33.4734365354212,0,1.25055521493778e-12,-0.152032085426868,0,2.1032064978499e-12,0,3.26151927730535,-31.8962662527202,31.8962662527215,-13.5480580117322,13.5480580117331,0,0,0,2.04636307898909e-12
0,67.1494392047295,30.7325330652457,0,1.10844666778576e-12,-0.152032085426868,0,1.96109795069788e-12,0,3.26151925557366,0,1.47792889038101e-12,-33.0208746636934,33.0208746636943,0,64.2059693668256,0,2.04636307898909e-12
0,131.355407868884,-33.4734361834927,0,1.25055521493778e-12,-0.152032085426868,0,1.93267624126747e-12,0,3.26151922767343,-0.347460006900974,0.347460006902168,-37.1965126410502,37.196512641051,0,0,0,2.04636307898909e-12
0,131.355408177876,-33.4734363641542,0,1.36424205265939e-12,-0.152032085426868,0,1.98951966012828e-12,0,3.26151922155157,0,1.19371179607697e-12,-12.8668408035501,12.8668408035509,0,0,0,1.59161572810262e-12
0,131.355407439933,-33.4734360342321,0,1.36424205265939e-12,-0.152032085426981,0,1.98951966012828e-12,0,3.26151924220142,0,1.08002495835535e-12,-10.124732436603,10.1247324366039,0,0,0,1.59161572810262e-12
0,0,97.8819715081902,0,1.13686837721616e-12,-0.152032085426868,0,1.90425453183707e-12,0,3.26151925617518,0,1.30739863379858e-12,-31.8591202212624,31.8591202212633,0,131.355407711569,0,1.76214598468505e-12
0,0,97.8819716680987,0,1.25055521493778e-12,-0.152032085427095,0,1.96109795069788e-12,0,3.26151924991052,0,1.27897692436818e-12,-2.7857840357496,2.78578403575051,0,131.355407858737,0,1.81898940354586e-12
0,0,97.8819715958508,0,1.19371179607697e-12,-0.152032085426981,0,1.81898940354586e-12,0,3.26151924866599,0,1.36424205265939e-12,-27.7153912404939,27.7153912404949,0,131.355407634959,0,1.64845914696343e-12
0,0,97.8819714387287,0,1.25055521493778e-12,-0.152032085426981,0,1.70530256582424e-12,0,3.26151926567098,0,1.4210854715202e-12,-10.1582326869271,10.1582326869281,0,131.355407746544,0,1.70530256582424e-12
0,0,97.88197174171,0,1.25055521493778e-12,-0.152032085426981,0,1.59161572810262e-12,0,3.26151925456514,0,1.4210854715202e-12,-4.88003152765145,4.88003152765248,0,131.355408293745,0,1.76214598468505e-12
0,0,97.8819717276584,0,1.19371179607697e-12,-0.152032085426868,0,1.81898940354586e-12,0,3.26151927380018,0,1.47792889038101e-12,-10.6359936555268,10.6359936555278,0,131.355408387634,0,1.81898940354586e-12
0,0,97.8819714276714,0,1.19371179607697e-12,-0.152032085426981,0,1.87583282240666e-12,0,3.2615192613647,0,1.47792889038101e-12,-8.78437623144021,8.78437623144117,0,131.355408167281,0,1.98951966012828e-12
0,0,97.8819712049639,0,1.10844666778576e-12,-0.152032085426868,0,1.70530256582424e-12,0,3.26151929048714,0,1.59161572810262e-12,-19.6929355832759,19.692935583277,0,131.355408008208,0,1.93267624126747e-12
0,0,97.8819710460709,0,1.13686837721616e-12,-0.152032085426868,0,1.70530256582424e-12,0,3.26151930569746,0,1.59161572810262e-12,-17.3900415037928,17.3900415037939,0,131.355407889046,0,1.87583282240666e-12
0,0,97.8819707091862,0,1.13686837721616e-12,-0.152032085426981,0,1.70530256582424e-12,0,3.26151931150721,0,1.70530256582424e-12,-43.9906207280006,43.9906207280017,0,131.355407577037,0,1.81898940354586e-12
0,131.355407532059,-33.4734369799162,0,1.47792889038101e-12,-0.152032085426981,0,1.70530256582424e-12,0,3.26151930855616,0,1.36424205265939e-12,-66.3217688044362,66.321768804437,0,0,0,1.59161572810262e-12
0,131.355407646975,-33.473436976841,0,1.3926637620898e-12,-0.152032085426981,0,1.47792889038101e-12,0,3.26151929446951,0,1.25055521493778e-12,-61.9124872373914,61.9124872373923,0,0,0,1.81898940354586e-12
0,131.355407180048,-33.473436643194,0,1.4210854715202e-12,-0.152032085426981,0,1.47792889038101e-12,0,3.26151926402579,0,1.25055521493778e-12,-36.056740014092,36.056740014093,0,0,0,1.70530256582424e-12
