tp,count
b4,18
c4,19
b4,18
c4,50
b4,49
c4,48
b4,47
c4,25
b4,24
c4,25
b4,24
c4,12
b4,11
c4,12
b4,11
c4,48
b4,47
c4,48
b4,47
c4,47
b4,46
c4,20
b4,19
c4,20
b4,19
c4,47
b4,46
c4,23
b4,22
c4,23
b4,22
c4,47
b4,46
c4,47
b4,46
c4,42
b4,41
c4,17
b4,16
c4,17
b4,16
c4,42
b4,41
c4,18
b4,17
c4,18
b4,17
c4,11
b4,10
c4,11
b4,10
c4,42
b4,41
c4,42
b4,41
c4,41
b4,40
c4,14
b4,13
c4,14
b4,13
c4,10
b4,9
c4,10
b4,9
c4,41
b4,40
c4,41
b4,40
c4,38
b4,37
c4,22
b4,21
c4,22
b4,21
c4,38
b4,37
c4,18
b4,17
c4,18
b4,17
c4,38
b4,37
c4,38
b4,37
c4,33
b4,32
c4,13
b4,12
c4,13
b4,12
c4,33
b4,32
c4,15
b4,14
c4,15
b4,14
c4,33
b4,32
c4,33
b4,32
c4,32
b4,31
c4,16
b4,15
c4,16
b4,15
c4,32
b4,31
c4,32
b4,31
c4,26
b4,25
c4,13
b4,12
c4,13
b4,12
c4,26
b4,25
c4,26
b4,25
c4,24
b4,23
c4,24
b4,23
c4,10
b4,9
c4,10
b4,9
c4,24
b4,23
c4,22
b4,21
c4,10
b4,9
c4,10
b4,9
c4,22
b4,21
c4,22
b4,21
c4,19
b4,18
c4,7
b4,6
c4,7
b4,6
c4,19
b4,18
c4,11
b4,10
c4,11
b4,10
c4,19
b4,18
c4,9
b4,8
c4,9
b4,8
c4,19
b4,18
c4,9
b4,8
c4,9
b4,8
c4,19
b4,18
c4,19
b4,18
c4,10
b4,9
c4,10
b4,9
c4,10
b4,9
c4,10
b4,9
c4,10
b4,9
c4,8
b4,7
c4,8
b4,7
c4,8
b4,7
c4,8
b4,7
c4,8
b4,7
c4,6
b4,5
c4,6
b4,5
c4,6
b4,5
c4,6
b4,5
c4,6
b4,5
c4,4
b4,3
c4,4
b4,3
c4,4
b4,3
c4,4
b4,3
c4,4
b4,3
c4,2
b4,1
c4,2
b4,1
c4,2
b4,1
c4,2
b4,1
c4,2
b4,1
