MeM,Threshold,model,TIC_Count
GIMME,SD,E2225,16
GIMME,SD,E2226,12
GIMME,SD,E2227,19
GIMME,SD,E2228,14
GIMME,SD,E2229,14
GIMME,SD,E2230,13
GIMME,SD,E2231,13
GIMME,SD,E2232,13
GIMME,SD,E2233,14
GIMME,SD,E2234,17
GIMME,SD,E2235,16
GIMME,SD,E2236,18
GIMME,SD,E2237,12
GIMME,SD,E2238,12
GIMME,SD,E2239,31
GIMME,SD,E2240,28
GIMME,SD,E2241,28
GIMME,SD,E2242,28
GIMME,SD,E2243,25
GIMME,SD,E2244,15
GIMME,SD,E2245,18
GIMME,SD,E2246,17
GIMME,SD,E2247,15
GIMME,SD,E2248,14
GIMME,SD,E2249,22
GIMME,SD,E2250,18
GIMME,SD,E2251,15
GIMME,SD,E2252,18
GIMME,SD,E2253,14
GIMME,SD,E2254,23
GIMME,SD,E2255,25
GIMME,SD,E2256,25
GIMME,SD,E2257,27
GIMME,SD,E2258,23
GIMME,SD,E2259,29
GIMME,SD,E2260,28
GIMME,SD,E2261,28
GIMME,SD,E2262,23
MBA,SD,E2199,27
MBA,SD,E2200,20
MBA,SD,E2201,29
MBA,SD,E2202,31
MBA,SD,E2203,15
MBA,SD,E2204,26
MBA,SD,E2205,21
MBA,SD,E2206,22
MBA,SD,E2207,23
MBA,SD,E2208,21
MBA,SD,E2209,25
MBA,SD,E2210,20
MBA,SD,E2211,19
MBA,SD,E2212,26
MBA,SD,E2213,17
MBA,SD,E2214,16
MBA,SD,E2215,17
MBA,SD,E2216,16
MBA,SD,E2217,16
MBA,SD,E2218,20
MBA,SD,E2219,19
MBA,SD,E2220,19
MBA,SD,E2221,15
MBA,SD,E2222,20
MBA,SD,E2223,14
MBA,SD,E2224,20
MBA,SD,E2225,22
MBA,SD,E2226,10
MBA,SD,E2227,15
MBA,SD,E2228,17
MBA,SD,E2229,13
MBA,SD,E2230,18
MBA,SD,E2231,11
MBA,SD,E2232,12
MBA,SD,E2233,14
MBA,SD,E2234,15
MBA,SD,E2235,14
MBA,SD,E2236,21
MBA,SD,E2237,12
MBA,SD,E2238,16
MBA,SD,E2239,28
MBA,SD,E2240,27
MBA,SD,E2241,27
MBA,SD,E2242,24
MBA,SD,E2243,24
MBA,SD,E2244,13
MBA,SD,E2245,16
MBA,SD,E2246,15
MBA,SD,E2247,13
MBA,SD,E2248,15
MBA,SD,E2249,17
MBA,SD,E2250,15
MBA,SD,E2251,16
MBA,SD,E2252,18
MBA,SD,E2253,16
MBA,SD,E2254,30
MBA,SD,E2255,26
MBA,SD,E2256,30
MBA,SD,E2257,27
MBA,SD,E2258,31
MBA,SD,E2259,26
MBA,SD,E2260,29
MBA,SD,E2261,28
MBA,SD,E2262,33
mCADRE,SD,E2199,27
mCADRE,SD,E2200,19
mCADRE,SD,E2201,29
mCADRE,SD,E2202,31
mCADRE,SD,E2203,16
mCADRE,SD,E2204,14
mCADRE,SD,E2205,19
mCADRE,SD,E2206,18
mCADRE,SD,E2207,18
mCADRE,SD,E2208,19
mCADRE,SD,E2209,22
mCADRE,SD,E2210,20
mCADRE,SD,E2211,19
mCADRE,SD,E2212,16
mCADRE,SD,E2213,16
mCADRE,SD,E2214,16
mCADRE,SD,E2215,16
mCADRE,SD,E2216,16
mCADRE,SD,E2217,16
mCADRE,SD,E2218,14
mCADRE,SD,E2219,14
mCADRE,SD,E2220,15
mCADRE,SD,E2221,15
mCADRE,SD,E2222,15
mCADRE,SD,E2223,9
mCADRE,SD,E2224,9
mCADRE,SD,E2225,15
mCADRE,SD,E2226,9
mCADRE,SD,E2227,13
mCADRE,SD,E2228,10
mCADRE,SD,E2229,9
mCADRE,SD,E2230,10
mCADRE,SD,E2231,9
mCADRE,SD,E2232,9
mCADRE,SD,E2233,13
mCADRE,SD,E2234,13
mCADRE,SD,E2235,15
mCADRE,SD,E2236,20
mCADRE,SD,E2237,11
mCADRE,SD,E2238,11
mCADRE,SD,E2239,24
mCADRE,SD,E2240,24
mCADRE,SD,E2241,24
mCADRE,SD,E2242,24
mCADRE,SD,E2243,24
mCADRE,SD,E2244,12
mCADRE,SD,E2245,13
mCADRE,SD,E2246,13
mCADRE,SD,E2247,12
mCADRE,SD,E2248,12
mCADRE,SD,E2249,14
mCADRE,SD,E2250,13
mCADRE,SD,E2251,12
mCADRE,SD,E2252,12
mCADRE,SD,E2253,12
mCADRE,SD,E2254,28
mCADRE,SD,E2255,26
mCADRE,SD,E2256,29
mCADRE,SD,E2257,28
mCADRE,SD,E2258,31
mCADRE,SD,E2259,26
mCADRE,SD,E2260,29
mCADRE,SD,E2261,28
mCADRE,SD,E2262,31
Swiftcore,SD,E2199,10
Swiftcore,SD,E2200,9
Swiftcore,SD,E2201,13
Swiftcore,SD,E2202,11
Swiftcore,SD,E2203,10
Swiftcore,SD,E2204,8
Swiftcore,SD,E2205,10
Swiftcore,SD,E2206,9
Swiftcore,SD,E2207,9
Swiftcore,SD,E2208,9
Swiftcore,SD,E2209,11
Swiftcore,SD,E2210,10
Swiftcore,SD,E2211,11
Swiftcore,SD,E2212,11
Swiftcore,SD,E2213,10
Swiftcore,SD,E2214,10
Swiftcore,SD,E2215,10
Swiftcore,SD,E2216,10
Swiftcore,SD,E2217,10
Swiftcore,SD,E2218,10
Swiftcore,SD,E2219,10
Swiftcore,SD,E2220,11
Swiftcore,SD,E2221,10
Swiftcore,SD,E2222,10
Swiftcore,SD,E2223,10
Swiftcore,SD,E2224,12
Swiftcore,SD,E2225,11
Swiftcore,SD,E2226,11
Swiftcore,SD,E2227,10
Swiftcore,SD,E2228,11
Swiftcore,SD,E2229,11
Swiftcore,SD,E2230,10
Swiftcore,SD,E2231,10
Swiftcore,SD,E2232,9
Swiftcore,SD,E2233,11
Swiftcore,SD,E2234,12
Swiftcore,SD,E2235,10
Swiftcore,SD,E2236,11
Swiftcore,SD,E2237,10
Swiftcore,SD,E2238,10
Swiftcore,SD,E2239,10
Swiftcore,SD,E2240,10
Swiftcore,SD,E2241,10
Swiftcore,SD,E2242,11
Swiftcore,SD,E2243,9
Swiftcore,SD,E2244,10
Swiftcore,SD,E2245,10
Swiftcore,SD,E2246,10
Swiftcore,SD,E2247,10
Swiftcore,SD,E2248,10
Swiftcore,SD,E2249,11
Swiftcore,SD,E2250,11
Swiftcore,SD,E2251,10
Swiftcore,SD,E2252,11
Swiftcore,SD,E2253,11
Swiftcore,SD,E2254,10
Swiftcore,SD,E2255,11
Swiftcore,SD,E2256,10
Swiftcore,SD,E2257,10
Swiftcore,SD,E2258,10
Swiftcore,SD,E2259,9
Swiftcore,SD,E2260,11
Swiftcore,SD,E2261,10
Swiftcore,SD,E2262,10
TOCS,SD,E2199,9
TOCS,SD,E2200,9
TOCS,SD,E2201,11
TOCS,SD,E2202,10
TOCS,SD,E2203,9
TOCS,SD,E2204,8
TOCS,SD,E2205,9
TOCS,SD,E2206,11
TOCS,SD,E2207,9
TOCS,SD,E2208,8
TOCS,SD,E2209,9
TOCS,SD,E2210,9
TOCS,SD,E2211,9
TOCS,SD,E2212,9
TOCS,SD,E2213,9
TOCS,SD,E2214,9
TOCS,SD,E2215,9
TOCS,SD,E2216,9
TOCS,SD,E2217,9
TOCS,SD,E2218,8
TOCS,SD,E2219,8
TOCS,SD,E2220,8
TOCS,SD,E2221,9
TOCS,SD,E2222,8
TOCS,SD,E2223,9
TOCS,SD,E2224,8
TOCS,SD,E2225,9
TOCS,SD,E2226,9
TOCS,SD,E2227,8
TOCS,SD,E2228,11
TOCS,SD,E2229,10
TOCS,SD,E2230,8
TOCS,SD,E2231,9
TOCS,SD,E2232,8
TOCS,SD,E2233,8
TOCS,SD,E2234,8
TOCS,SD,E2235,8
TOCS,SD,E2236,8
TOCS,SD,E2237,8
TOCS,SD,E2238,8
TOCS,SD,E2239,9
TOCS,SD,E2240,8
TOCS,SD,E2241,9
TOCS,SD,E2242,8
TOCS,SD,E2243,9
TOCS,SD,E2244,8
TOCS,SD,E2245,9
TOCS,SD,E2246,11
TOCS,SD,E2247,8
TOCS,SD,E2248,9
TOCS,SD,E2249,9
TOCS,SD,E2250,9
TOCS,SD,E2251,8
TOCS,SD,E2252,8
TOCS,SD,E2253,9
TOCS,SD,E2254,8
TOCS,SD,E2255,11
TOCS,SD,E2256,9
TOCS,SD,E2257,10
TOCS,SD,E2258,10
TOCS,SD,E2259,8
TOCS,SD,E2260,10
TOCS,SD,E2261,11
TOCS,SD,E2262,10
