ABUTt2pp,ADK1,ADK3,ALAt2pp_copy2,ALAt4pp,CAt6pp,CA2t3pp,GLUABUTt7pp,GLUt2rpp,GLUt4pp,GLYCLTt2rpp,GLYCLTt4pp,GLYt2pp_copy2,GLYt4pp,NAt3pp,NDPK1,SERt2rpp,SERt4pp
666.949745376571,672.426500898106,-574.544527994793,-243.191977878036,243.191977878037,-971.939572691734,971.787540606307,666.949745376572,-769.704916787397,106.016690697313,-840.94837662149,840.948376621492,-233.056191679893,233.056191679894,709.012995160051,-541.071091693,-293.164097769877,293.164097769878
554.754919912648,570.520616541539,-472.638643726551,-107.334302130815,107.334302130817,-848.630421444358,848.478389358931,554.75491991265,-710.778392743117,159.284992124733,-796.398072610007,796.398072610009,-84.7071464953424,84.7071464953432,679.690443537244,-439.165207420723,-419.691487938782,419.691487938783
304.942234645552,500.329583368689,-402.447610377022,-40.0423506030219,40.0423506030232,-778.81657978881,778.664547703383,304.942234645554,-375.50673904672,73.8260236956626,-706.712492386044,706.712492386045,-79.8850016313149,79.8850016313158,534.638393723599,-368.974173826975,-455.968356153479,455.968356153481
27.7903373416074,468.266552168294,-370.384579231047,-61.6286153115489,61.6286153115502,-610.470659507839,610.318627422412,27.7903373416095,-73.3195485668065,48.7907305089738,-528.145948187619,528.145948187621,-25.6119188421495,25.6119188421503,547.355748931217,-336.911142819,-498.193207209597,498.193207209599
81.6576321060754,523.533140106559,-425.651167295466,-122.927212442643,122.927212442645,-688.020548947887,687.86851686246,81.6576321060776,-112.003909310682,33.6077964722538,-557.461409007414,557.461409007415,-32.589984298803,32.5899842988038,506.317125175399,-392.177730690962,-452.304126771048,452.30412677105
81.0667503990313,536.131708009793,-438.249735161643,-209.433263334881,209.433263334882,-607.001519123957,606.84948703853,81.0667503990333,-85.6327924781669,7.82756135504019,-391.558342306,391.558342306001,-47.6151418048484,47.6151418048492,617.171837648105,-404.776298555757,-595.25901707405,595.259017074052
114.958760201885,477.368488339611,-379.486515680241,-221.314751275425,221.314751275427,-596.034800559201,595.882768473774,114.958760201887,-118.020100189205,6.32285926462572,-444.979706070557,444.979706070558,-13.5480580117322,13.5480580117331,624.691199698186,-346.01307914482,-583.114437091478,583.11443709148
232.836182310658,67.1494392047295,30.7325330652457,-139.982776148068,139.982776148069,-625.462963297305,625.310931211878,232.83618231066,-258.093128506029,28.5184654509443,-406.053893018767,406.053893018768,-43.0169892595497,43.0169892595506,519.385092167331,64.2059693668256,-563.406293421211,563.406293421213
76.0298058022678,598.929109689867,-501.047138004475,-39.3056116652275,39.3056116652288,-794.865059517443,794.713027432016,76.0298058022697,-156.279506768246,83.5112201936519,-476.441394357528,476.441394357529,-37.1965126410502,37.196512641051,552.336456461946,-467.573701820983,-751.400236912147,751.400236912149
144.229167932128,812.951209859233,-715.069238045511,-700.913810132567,700.913810132568,-765.552973247189,765.400941161762,144.22916793213,-389.628538331781,248.660889621205,-223.818683229312,223.818683229313,-80.66942928426,80.6694292842608,950.027218314145,-681.595801681357,-477.493707233984,477.493707233986
108.212623240866,739.47567617496,-641.593704769258,-663.222017425154,663.222017425156,-768.578179370091,768.426147284664,108.212623240868,-429.190449407364,324.239345408699,-147.587108809113,147.587108809114,-26.9980165315544,26.9980165315552,851.925368443764,-608.120268735026,-471.691279233013,471.691279233015
221.458786887093,-67.3114815210408,165.193453029231,-686.215913424151,686.215913424152,-642.304944478271,642.152912392844,221.458786887095,-604.830374717305,386.633107086387,-35.6663689816565,35.6663689816578,-63.6816886510246,63.6816886510256,878.671128916739,198.66688923261,-383.747602644113,383.747602644115
153.00265230482,-391.553039586243,489.435011254342,-542.864931068029,542.86493106803,-969.067962811622,968.915930726195,153.002652304822,-486.295082525829,336.553949470919,-246.965886842198,246.965886842199,-190.007562232492,190.007562232493,867.028911542057,522.90844744498,-525.59981594052,525.599815940522
462.562284847778,-494.828552674879,592.71052427073,-259.437017341495,259.437017341496,-942.109921853618,941.957889768191,462.56228484778,-865.299943969815,405.999178370702,-289.25826338356,289.258263383562,-396.194850005915,396.194850005916,845.137241183467,626.183960309838,-467.182732339263,467.182732339265
610.546740639617,-210.343481282741,308.22545272147,-339.745039076475,339.745039076476,-949.272587677034,949.120555591607,610.546740639619,-862.914113211052,255.628891837106,-353.424081197351,353.424081197352,-347.841933240255,347.841933240256,741.99525028864,341.698889029285,-407.895612481813,407.895612481815
773.688030230985,-9.05971314719095,106.941684888901,-269.963177528316,269.963177528317,-827.487017966625,827.334985881198,773.688030230987,-975.380864611103,204.954353634683,-276.876129171388,276.87612917139,-523.655035635289,523.65503563529,793.245683352111,140.415121440936,-353.273524045972,353.273524045974
565.693892681023,-174.707363368328,272.589335095986,-93.257352459168,93.2573524591692,-745.617996933646,745.465964848219,565.693892681025,-674.24384026908,111.811466861857,-469.582807740729,469.58280774073,-502.172652114045,502.172652114046,807.658377955514,306.062771755962,-390.197576557304,390.197576557306
429.13370899239,-818.871293407855,916.753264835526,-19.6182458660511,19.6182458660523,-535.131322052686,534.979289967259,429.133708992392,-493.047693207896,67.1755034768713,-524.66573010114,524.665730101141,-483.792600332438,483.792600332439,866.177392051038,950.226701575135,-317.950497734611,317.950497734612
676.42425349516,-656.009266250188,753.891237455152,-220.92748992384,220.927489923841,-659.048403684739,658.896371599312,676.424253495162,-738.509688757518,65.3469545528446,-478.284330087994,478.284330087996,-432.420182326842,432.420182326843,836.690051148167,787.364674258396,-321.561920729822,321.561920729824
